target,subject
0,Re: inbox mail notification broken
1,CDR: Free Term Life Insurance Quotes LGJDG
0,RE: [ILUG] Redhat 8.0
1,Low Price Tobacco
1,"ADV: Extended Auto Warranties Here aanfh Protect your financial well-being. Purchase an Extended Auto Warranty for your Car today. CLICK HERE for a FREE no obligation quote. http://www.newnamedns.com/warranty/ Car troubles always seem to happen at the worst possible time. Protect yourself and your family with a quality Extended Warranty for your car, truck, or SUV, so that a large expense cannot hit you all at once. We cover most vehicles with less than 150,000 miles. Buy DIRECT! Our prices are 40-60% LESS! We offer fair prices and prompt, toll-free claims service. Get an Extended Warranty on your car today. Warranty plan also includes: 1) 24-Hour Roadside Assistance. 2) Rental Benefit. 3) Trip Interruption Intervention. 4) Extended Towing Benefit. CLICK HERE for a FREE no obligation quote. http://www.newnamedns.com/warranty/ --------------------------------------- To easily remove your address from the list, go to: http://www.newnamedns.com/stopthemailplease/ Please allow 48-72 hours for removal."
0,"Re: About apt, kernel updates and dist-upgrade"
0,Re: Tiny DNS Swap
1,Got plans tonight?
0,Re: [ILUG] SUSE 8 disks? (thread changed slightly)
0,Re: [Razor-users] report automation with pine?
0,Re: Sorting
0,Lander risks missing Mars trip
0,Cops sabotaging their own in car video cameras to avoid looking like they hang out at dunkin' donuts all day
0,RE: The Curse of India's Socialism
0,Re: earthviewer (was
0,[ILUG]
0,Re: [zzzzteana] An announcement
0,Re: Selling Wedded Bliss (was
0,TCPA and
0,Re: Quick php advice needed :-)
1,Get the BEST Rate On a Home Loan!
0,"""I meditated in a cave for 12 years and now I'm here to tell you what's up"""
0,Re: [Razor-users] Authentication Error
0,Unseen window versus Sequences Window
0,Re: [Razor-users] Collision of hashes?
0,Re: [SAdev] Live Rule Updates after Release ???
0,Fw: some (null) eyecandy packages
0,JPEGs patented
0,Re: Scramjet works? : HyShot experiment takes-off
1,Production Mini-plants in mobile containers. Co-investment Program
0,Re: It's a small world
1,[ILUG] Here is the information you requested
0,[use Perl] Headlines for 2002-09-03
1,ADV: Search Engine Placement
1,Ultimate
0,Re: [Razor-users]
0,RE: liberal defnitions
0,[ILUG] Backup solutions
0,Female circumcision does not reduce sexual activity
0,Re: bad focus/click behaviours
1,Penis Enlargement Pills - 100% Guarantee Or Money Back
1,Re: SYSTEMWORKS CLEARANCE SALE_LIMITED QUANTITIES_ONLY $29.99 TJ
0,Re: From
0,Re: [zzzzteana] Secondhand books online
0,Re: [ILUG] windows users accessing cvs...
1,TOP Legal advice.. for PENNIES a day!
0,RE: USA USA WE ARE NUMBER ....six.
1,Second Chance #5182
0,Sourceforge sells out
0,[IRR] [dgc.chat] First public release of NeuDist Distributed Transaction Clearing Framework
0,Re: 2002.06.00.00
0,Re: Al'Qaeda's fantasy ideology: Policy Review no. 114
1,No more need for a lift or support bra!1903
0,Re: [NYT] Real Source
0,Re: [Spambayes] Guidance re pickles versus DB for Outlook
0,Re: Advise on RPM buidling
0,[SACVS]
0,Re: [ILUG] Mirror a website
0,Re: [zzzzteana] The Cafe Forteana is back online!!!
0,Re: Hanson's Sept 11 message in the National Review
0,Re: What's cool about doing nothing
0,FYI - gone this weekend
1,[ILUG-Social] Best Replica Goods - Best Prices
0,[Razor-users] honor is not in csl
1,"Up to $1,500.00 Part time 22311"
0,Re: Goodbye Global Warming
0,Re: RedHat 8.0 and his own freetype
0,[use Perl] Headlines for 2002-08-30
1,"ADV: Interest rates are DOWN!! ntbri INTEREST RATES HAVE JUST BEEN CUT!!! NOW is the perfect time to think about refinancing your home mortgage! Rates are down! Take a minute and fill out our quick online form. http://210.201.52.130/homesavings/ Easy qualifying, prompt, courteous service, low rates! Don't wait for interest rates to go up again, lock in YOUR low rate now! --------------------------------------- To unsubscribe, go to: http://210.201.52.130/nomoremail/ Please allow 48-72 hours for removal."
1,Get a FREE Bottle of Wine & Tasting Kit
0,BSkyB recruits heavyweight non-execs
1,[ILUG] BANK ERROR IN YOUR FAVOR
0,Re: use new apt to do null to RH8 upgrade?
0,Critical US satellites could be hacked
1,Re: PROTECT YOUR COMPUTER AGAINST HARMFUL VIRUSES! 21198
1,3.9 Cents With No Monthly Fees - Best Long Distance On the Net
1,"Over $100,000 Per Year Possible On The Net! No Illegal MLM Junk!"
1,Free LTCI Policy Comparison Software
1,Close 90% of Your Prospects
0,New $199 PC Doesn't Do Windows
1,Hi-Mind:Opt-in referencement
0,Re: Optical analog computing?
0,RE: <nettime> The War Prayer
0,[Spambayes] understanding high false negative rate
1,Adult: Free Access
1,CDR: Is ANY of this stuff TRUE?!?!
1,Your Family Needs You
0,Re: The case for spam
0,[SAtalk] Is DCC for real?
0,Re: voice applications - how does joe-sixpack build one?
0,Re: My brain hurts
1,"ADV: Harvest lots of Target Email addresses quickly,/"
0,Re: Linking message [was:
0,gentoo 0.11.31 relased...
0,Problem with my spec file
0,Re: My brain hurts
1,YES $0.04 per day webhosting. 17897
1,"CDR: The Government Grants You $25,000!"
0,Re: Pango problems
1,Order Viagra Online - Safely & Securely HNWGYI
1,Too many credit card bills! - this fixes that!
0,Re: [SAtalk] checking out Razor2 (and SA 2.41) install -
0,Re: NYTimes.com
0,Xine dependencies
0,[SAtalk] Compile error under Digital Unix
0,RE: [zzzzteana]
0,Re: [ILUG] LCD monitors and linux
0,Re: [ILUG] converting strings of hex to ascii
0,US forces Israel to lift siege of Arafat
0,QOTD: Give me a frigging break.
0,Re: A moment of silence for the First Amendment (fwd)
1,Strong Annual Returns Guaranteed and Fully Secured 25780
1,Phentermine & Viagra Here
1,CDR: Insight on the News Email Edition
0,[Spambayes] Deployment
0,Gold Lake Mountain Resort looks pretty gooood. Man there are a lot of cool
0,Fatal seal epidemic burns out
0,Re: Ximian apt repos?
0,Man rappels off of city bridge trying to hitch a free ride on a cruise ship. Misses. Gets free ride on police boat.
0,RE: [ILUG] removing lilo
1,Question From Patrick In Ireland
0,Re: [SAtalk] PerMsgStatus.pm error?
0,Re: [zzzzteana] FWD (TLCB) Jimmy
0,Re: Recommended Viewing
0,Re: [Baseline] Raising chickens the high-tech way
0,[use Perl] Headlines for 2002-10-03
1,Toners and inkjet cartridges for less.... BLOEEYS
1,=?iso-8859-1?Q?Fw:_CD_Nua_do_dhamhsa=ED_Ch=E9il=ED?=
0,Re: The absurdities of life.
0,Re: boycotting yahoo
0,Re: The GOv gets tough on Net Users.....er Pirates..
0,RE: [Razor-users] What's wrong with the Razor servers now?
1,http://iiu.taint.org
0,Re: Apt repository authentication: it's time
0,RE: Prob. w/ install/uninstall
1,A Free Sample and Tape for You dwgxb
1,It will work for you
0,Re: [zzzzteana] The Cafe Forteana is back online!!!
1,[ILUG-Social]
0,Apple Switch parodies
0,Re: Secure Sofware Key
0,Re: Selling Wedded Bliss (was
0,Re: [SAtalk] Highest-scoring false positive
1,MULTIPLY YOUR CUSTOMER BASE!
0,[SACVS]
0,"Equitable prepares to compensate 70,000"
1,3 Year Annuity...5% Guaranteed Rate
0,Re: Shatter Attacks - How to break Windows
0,Re: Entrepreneurs
1,[SA] EM1- Aren't we accorded equal opportunity already?
0,Re[2]: Selling Wedded Bliss (was
1,Welcome to the concept of RESIDUAL Income!
0,Re: Holidays for freshrpms.net :-)
1,"[SA] High Returns, Safe Investment! 20% Monthly!"
0,Re: [ILUG] How to copy some files
0,Re: [ILUG] 3c509 & 2.4.19 problems
0,Re: [Razor-users] Stripping the SpamAssassin report
0,Bank of Ireland admits Abbey overtures
0,"Iowa: ""There was frost outside this morning!"""
0,Re: Using hosts file to rid yourself of popup ads
1,New.. Find out ANYTHING about ANYONE with your PC
0,Job Offers and My Resume
1,NEED TO FIND SOMETHING?
0,Re: [ILUG] Email list management howto
1,"When we say FREE, WE MEAN FREE!"
0,1 IIU admin request(s) waiting
1,[ILUG-Social] Everybody Gets Paid - No Recruiting Needed
0,Re: [Razor-users] Razor with sendmail
1,Easy 30-50% Return and here's how..... 4674ewSq2-759CS-14
0,Clark on Munchkins
0,Re: [ILUG] RH7.3 on Cobalt - the saga continues
0,Re: [ILUG] Secure remote file access
1,FW:
0,freshrpms.net resources (was
1,"$500,000 Life Policy $9.50 per month. vyw"
1,Mortgage for even the worst credit ZWZM
0,to the courthouse
0,Re: Limbo beta 2 ?
0,Re: [SAdev] Debug Support Feature
1,Prepare to save gas driving this Summer
1,you don't satisfy me FGTPRIL
0,"Re: OSCOM Berkeley report: Xopus, Bitflux, Plone, Xoops"
0,Re: EBusiness
1,Ez Internet Privacy is finally here
0,Re: [SAtalk]
0,Re: [Razor-users] Problem with Razor 2.14 and Spamassassin 2.41
1,Hit the Road with CNA
0,[Razor-users]
0,Re: [Razor-users] Stripping the SpamAssassin report
1,Keep your private life private. EZ Internet Privacy
0,rpm-zzzlist@freshrpms.net
0,Re: ActiveBuddy
0,Re: Forged whitelist spam
0,Re[2]: Selling Wedded Bliss (was
0,Re: [ILUG] How to copy some files
0,RE: USA USA WE ARE NUMBER ....six.
1,Let us find the right mortgage lender for you AFPE
0,RE: The Disappearing Alliance
0,Re: My brain hurts
0,Re: [Spambayes] Guidance re pickles versus DB for Outlook
0,[ILUG] serial port transient failure
0,Re: [ILUG] How to copy some files
0,[Razor-users] Razor and Pine
0,[zzzzteana] FWD [UASR][TheHickmanReport] Jets Attempt to Intercept 'Contrail'
0,Dan Gillmor responds to Jack Valenti
0,Re: What's cool about doing nothing
0,Re: Wifi query
1,ISA Article on Embedded Real-Time Linux Automation Applications . gji
1,Increase your penis size 25% in 2 weeks!
0,Bush veto on Middle East talks
0,Re: USA USA WE ARE NUMBER ....six.
0,Re: New Sequences Window
1,[SA] Chuong trinh khuyen mai he 2002
1,English Well for you?
1,Do You Owe Back Taxes? obd
0,Smitten
0,Re: NYTimes.com
0,Dotcom
0,[NYT] Real Source
1,"Incredible Cash Generating System!!!, Greetings, Like most of us I have been burned in several Programs in the past. However, I really, truly, believe that this program, "" The Last Program"" is going to help me and many others achieve their lifelong financial dreams. Please click on the link to my web page and take just a few minutes to read over the material inside. It is a really fascinating program and I am very excited about its potential and I hope you will be to after you read about it. CLICK HERE FOR DETAILS http://lastprogram.members.easyspace.com If you have any questions or concerns please feel free to call me at 702 604 6163 Warmest regards Rick Do not reply to this message - To be removed from future mailings: mailto:grantuit2001@yahoo.com?Subject=Remove"
0,Re: Mailing addresses against spam?
0,Wannabe fathers ramp up testosterone
0,Re: NYTimes.com
0,[Razor-users] Collision of hashes?
0,"Re: [SAtalk] Yeah right... If spamassassin was looking through th is mail, it would have marked it as spam."
0,[SAtalk] Test spam
0,RE: Slaughter in the Name of God
0,Re: Ximian apt repos?
1,"Save up to 50% on laser printer, copier, and fax cartridges."
1,I have visited WWW.TAINT.ORG and noticed that ...
1,Government Guarantees Your Success
0,EPA
0,sed /s/United States/Roman Empire/g
0,Re: req: Falcon's eye
0,Re: Alsa/Redhat 8 compatability
0,RE: introductions
1,Adult Passwords Here
0,Times Square as it was
1,discounted motgages 371812976544333222
0,Re: Using hosts file to rid yourself of popup ads
0,Fluxbox
0,Re: [ILUG] SMTP auth & mutt
1,"Vacation Time,House need work,Behind in Bills? Refinance while rates are low"
1,Your Paycheck!
1,Buy 1 get 2
1,"Muscles,Money,and Looks help-But Women want a Bigger Man IRBXIJ"
0,[zzzzteana] Which Muppet Are You?
1,Re: Magic
1,Increase sexual energy - Reduce body fat!16548
0,Re: Shatter Attacks - How to break Windows
1,Bad Nicknames for Her Vagina.. #9. Black Hole Of Calcutta
1,A Unique Dual Income Opportunity
0,"RE: [ILUG-Social] Completely OT, Siamese Cats???"
0,Re: [ILUG] Quake 3
0,Oh ma gawd - funny site of the day...
0,'Flexible' retirement gains ground
0,[SAtalk] German spam corpus / foreign language spam
1,""" <nsfsae@alltel.net>"
0,Re: boycotting yahoo
1,Join Focus Groups to earn money
1,DATA
1,"$50,000 Giveaway!"
0,hello everybody
1,Urgent Contact
0,RE: [SAdev] Who uses Spam Assassin this way?
0,Re: ActiveBuddy
0,[ILUG] vanquishing the daemons of shell scripting
0,MySQL 4.1 Source Tree Available
0,Re: Electric car an Edsel...
0,Twilight Zone
0,sylpheed-claws
0,[ILUG] Cobalt question
1,A rare and wonderful email really!
0,Re: Linking message [was:
0,Re: OpenGL
1,18cent long distance conference calls
0,New testing packages
0,[Spambayes]
0,Warplane system 'could stop mid-air explosions'
0,Re: [ILUG] SMTP auth & mutt
0,Re: And Away We go
1,MSNBC: Rates Hit 18 year Low 4.75% ...26666
1,Email marketing info
1,re: SYSTEMWORKS CLEARANCE SALE_ONLY $29.99 0989sqJ-7
0,Re: f-rpm] Python 2.2 site libs?
1,"How to get 10,000 FREE hits per day to any website"
0,"Forged documents, public drinking, massive fistfights... Who knew midget football could be so exciting?"
0,Plans for new youth units blocked
1,LOOK ! Y O U are a W I N N E R here ! - Don't miss out ! ! 7504
0,Re: [ILUG] C++ and C Mailing Lists for Beginners and Advanced
0,[Spambayes] understanding high false negative rate
0,Re: Optical analog computing?
0,Vintage Music Archive
1,urgent and confidential business proposal
0,Re: Imap servers that support the MH folder/file standards
0,Roman chariots responsible for Space Shuttle design constraints
1,You have nothing to loose anlt to gain-Get 220 Multi-Billion Stores.
0,Re: [SAtalk] Two rule suggestions
0,RE: Java is for kiddies
0,"O'Reilly Conference Newsletter Update - 071902e O'Reilly Open Source Convention -From the Frontiers of Research to the Heart of the Enterprise Sheraton San Diego Hotel and Marina July 22-26, 2002 -- San Diego, CA http://conferences.oreillynet.com/os2002/?CMP=EM4907 O'REILLY CONFERENCE NEWSLETTER UPDATE - 071902e -Conference News - One-Day Pass Offer -Conference Highlights - Bruce Sterling on Open Source -See & Do - Camping Out at Kid's World -OSCON Tracks - It's not just about Perl, you know. -Conference Details - Keynotes ""In the tradition of O'Reilly books, their conferences get past the fluff and hype of other conferences and home in directly on the meat of the technology."" -- Jason Hall from Plug, the Provo area Linux Users Group *** CONFERENCE NEWS ---------------------------------------------- ONE DAY PASS ADDED TO CONFERENCE If you can't swing the whole conference, but can't bear to miss that one session or keynote presentation, pick up a day pass, available for July 24, 25, or 26. The cost of the one day pass is $400. Please visit: http://conferences.oreillynet.com/os2002/?CMP=EM4907 ---------------------------------------------- Check out this year's program for a look into the future of open source software. Register Today! http://conferences.oreillynet.com/os2002/?CMP=EM4907 *** OSCON2002 HIGHLIGHTS Bruce Sterling, author, journalist, editor, critic, presents A Contrarian Position on Open Source, Friday, July 26, 11:30am - 12:15pm in Sea Breeze II. Sterling is the author of several science fiction novels including Involution Ocean, The Artificial Kid, Schismatrix, Islands in the Net, and Heavy Weather. He edited the collection Mirrorshades, the definitive document of the cyberpunk movement, and co-authored the novel The Difference Engine with William Gibson. He writes a critical column for Science Fiction Eye and a popular-science column for The Magazine of Fantasy and Science Fiction. His non-fiction book The Hacker Crackdown describes the law enforcement and computer-crime activities that led to the start of the Electronic Frontier Foundation in 1990. /==========================================================\ Convention Newsletter Sponsored by InfoWorld InfoWorld's Next-Generation Conference Web Services"
0,Re: [Razor-users] unsubscribe
0,Re: ALSA (almost) made easy
0,Re: Another bug
0,Business card design
0,[SAtalk] Spamassassin with Pyzor
0,Bosnia goes it alone for first full poll
0,[ILUG] Sysadmin / IT person wanted
0,Re: Selling Wedded Bliss (was
0,New testing packages
0,Re:
0,Re: [ILUG] SUSE 8 disks? (thread changed slightly)
1,Tell Me Where to Send Your Health Card
0,Re: [SAdev] 2.41 release?
0,Re: AA Meetings the Hottest Place to Meet Women With Big Bucks
1,Get the Child Support You Deserve 11.180
1,pick up the phone
0,Re: New Sequences Window
0,Re: The Wrong Business
0,Failed mail: Banned or potentially offensive material
0,[ILUG] Marketing SIG has a good start :)
0,Re: Forged whitelist spam
0,"Jon Hanna, on the RSS-DEV list, says that RSS, was ""not designed to be of a"
0,Re: And Away We go
0,[Razor-users] spamassassin+razor2
0,Re: Apt repository authentication: it's time
1,Get your OWN piece of history.
0,Re: Entrepreneurs
0,Re: sed /s/United States/Roman Empire/g
0,[Webdev] site monitroring service?
0,Re: [ILUG] Retrieving read mail from webmail.eircom.net via POP ?
0,[use Perl] Stories for 2002-10-10
0,[ILUG-Social] geek cuisine...
1,Get The BEST PRICE on Your Next CAR!
0,Mayan texts reveal superpower wars
0,"RIP, Robert L Forward"
0,Re: Nessus?
0,Re: USA USA WE ARE NUMBER ....six.
0,Re: no matter where you go
0,RE: [ILUG] mirroring on a running system
0,Re: Goodbye Global Warming
0,Re: [Razor-users] keep submitting known spam?
0,Professional dog poop scooper has 300 customers
0,Re: [ILUG] SUSE 8 disks? (thread changed slightly)
0,V2.4 keeps incorrectly blue-ing folders
0,Re: When a Crop Becomes King
0,Re: [zzzzteana] Which Muppet Are You?
0,Article to check on Network World Fusion
0,Re: [zzzzteana] Bigfoot and big feet on display at Peabody
0,Re: HD/ID: High-Def Independence Day
1,nice foto YOHvTp2KSxRjQIzJXdHxkRTfBjhO
1,I have visited WWW.TAINT.ORG and noticed that ...
0,Re: [ILUG] Dell GX260 V Redhat 7.3
0,[Razor-users] Something wrong with Database?
0,[use Perl] Stories for 2002-12-02
0,Re: Help! I've lost my exmh-unseen window!
1,Re: Your Order
0,Wear Sunscreen
0,Re: [ILUG] OSI protocol
0,Re: [ILUG] slashdot EW Dijkstra humor
0,RE:
0,Re: [ILUG] ipfw vs ipchains vs iptables
0,[use Perl] Stories for 2002-10-08
0,[Spambayes] Deployment
1,"ADV: Extended Auto Warranties Here tupdt Protect your financial well-being. Purchase an Extended Auto Warranty for your Car today. CLICK HERE for a FREE no obligation quote. http://www3.all-savings.com/warranty/ Car troubles always seem to happen at the worst possible time. Protect yourself and your family with a quality Extended Warranty for your car, truck, or SUV, so that a large expense cannot hit you all at once. We cover most vehicles with less than 150,000 miles. Buy DIRECT! Our prices are 40-60% LESS! We offer fair prices and prompt, toll-free claims service. Get an Extended Warranty on your car today. Warranty plan also includes: 1) 24-Hour Roadside Assistance. 2) Rental Benefit. 3) Trip Interruption Intervention. 4) Extended Towing Benefit. CLICK HERE for a FREE no obligation quote. http://www3.all-savings.com/warranty/ --------------------------------------- To unsubscribe, go to: http://www3.all-savings.com/stopthemailplease/ Please allow 48-72 hours for removal."
0,Re: [ILUG] [OT] GPL & PHP Question
0,Carcooning
1,"Fw: VIRUS PROTECTION IS A MUST, YOU NEED SYSTEMWORKS! CPTJ"
0,[ILUG-Social]
1,Oh No! My Printer Died!
0,Re: use new apt to do null to RH8 upgrade?
0,A Non-Integer Power Function on the Pixel Shader
0,Indie artist hits top-ten by engaging audience
0,RE: [ILUG] Architecture crossover trouble w RH7.2 (solved)
0,"Bin Laden is still alive, reveals spy phone satellite"
1,re: domain registration savings
0,Re: hi
0,Re: [Razor-users] Stripping the SpamAssassin report
1,Start on your summer look now
0,US use of lie detector tests criticised
0,Re: Zoot apt/openssh & new DVD playing doc
0,Re: latest php upgrade in 7.3
0,Re: no matter where you go
1,Re: This Weekend
0,Re: All set for Red Hat Linux 8.0
0,"Month by month, 'Most Beautiful Man' winners and their galleries. sfw"
0,Re: [VoID] a new low on the personals tip...
1,Increase your penis size 25% in 2 weeks!
0,Re:
0,Re: [Razor-users] Fire.cloudmark.com is having issues
0,Re: [Webdev] Migrating TO W2K
0,[ILUG] Serial port trouble
0,Re[3]: Selling Wedded Bliss (was
0,Hoag's Object
0,Webex Endeavors
0,RE: [ILUG] slashdot EW Dijkstra humor
1,"Date: Tue, 3 Jul 2001 13:11:21"
1,60 minute free porn movie
0,Re: vkatalov@elcomsoft.com: Security warning draws DMCA threat
0,Re: [zzzzteana] An announcement
0,Re: And Away We go
0,IIU post from emailharvest@email.com requires approval
0,Re: [Baseline] Raising chickens the high-tech way
1,Get Hundreds Of Fresh Leads via email !!!
0,Re: New Sequences Window
0,[zzzzteana] Lincs lizard
0,Re: storage bits
0,"Viridian Note 00324: 911.net Key concepts: ubiquitous computation, emergency relief, Khaki Green, 911.net, Terrorspace, Cradle.net, Battlespace, Prosthetic Ubicomp, SO/HO Ubicomp, Safetyspace, Street.net, Punish.net, Industrial Ubicomp, Ubitopia Attention Conservation"
0,Returned mail: [SACVS]
1,please see see kmuNnWq6p12tdpvINWVAGy
0,Re: [Baseline] Raising chickens the high-tech way
0,Re: New Sequences Window
1,YOU ARE A WINNER!!
0,Re: [scoop] Scoop MS Word .doc file into something that plucker or other Palm app can display?
1,"BIZ, .INFO, .COM for only $14.95"
0,Cobain dispute settled
1,[SA] Job Update
1,Start on your summer look now
0,Re: Problem with my spec file
0,Viruses that also hack computers on the rise
1,"yyyy, claim the money you never knew you had"
1,E-Market Today! Get your advertising Boost!13474
0,[Spambayes]
0,"Re: ""requires:"" and relational operators"
0,Re: Oh ma gawd - funny site of the day...
1,"RE: MEN & WOMEN, MAKE BETTER WHOOPEE! 23967"
1,Strictly Private.
0,Re: [zzzzteana] Which Muppet Are You?
1,The Best Policies for Less Than a Dollar a Day!
1,want to accept credit cards? 126432211
1,[SAtalk] **urgent assistance**
0,"Re: Adam dont job for no one, see."
0,Factories go flat while we dither over the euro
0,Re: AA Meetings the Hottest Place to Meet Women With Big Bucks
0,"Quick, Outlaw Touching"
0,[ILUG] dual keyboards
1,DATA
0,"Re: About apt, kernel updates and dist-upgrade"
0,[Spambayes] understanding high false negative rate
0,USA USA WE ARE NUMBER ....six.
0,Marriage makes both sexes happy
0,Re: New Sequences Window
1,REQUEST FOR ASSISTANCE
0,[SAdev] Interesting approach to Spam handling..
0,xine src package
0,[Razor-users] Reducing impact from tons of email
1,MILFs that like to F-CK!!!
0,Re: Asteroids anyone ?
0,DNA match brings breakthrough
0,Re[2]: Selling Wedded Bliss (was
0,International agreements
1,Fw: 2 minutes to read what I have to say... p.s. & send it to yyyy@netnoteinc.com
0,Re: [SAdev] 2.40: ready for release?
1,Exception Error 583 FNQPTG
0,Re: The GOv gets tough on Net Users.....er Pirates..
0,[zzzzteana] Fake bank website cons victims
0,Re: [ILUG] linux pthreads problem
0,[Webdev] mod_rewrite question
0,Re: [ILUG] hard- vs. soft-links [was: How to copy some files ]
1,CDR: VTGE 7/22/2002 10:24:24 PM
0,Keeping up with The
1,enter Chinese market
0,RE: [SAtalk] O.T. Habeus -- Why?
1,BUSINESS ASSISTANCE
0,[use Perl] Stories for 2002-09-17
0,Re: xmms and .mp3 files.
1,Never be tangled up in yard work again!
0,Re: Kill Your Gods
1,Free Step-By-Step Seminar Presentation
0,Re: [SAtalk] O.T. Habeus -- Why?
1,911 Anniv Bush Memorial Bill for You
1,Improved Health JBTFCZ
0,OpenWave
0,GPL limits put to a test
0,Re: My brain hurts
1,University Diplomas
1,mortgage r us
1,Immediate Reply Needed
0,Re: Pics and thanks
0,Re: All set for Red Hat Linux 8.0
0,Re: Bindings problem with current CVS code
0,Re: [Razor-users] Authentication Error
0,Re: boycotting yahoo
0,"Re: ""Ouch. Ouch. Ouch. Ouch. Ouch....""(was"
0,Palm-sized translators going to Iraq
1,=?big5?Q?=B4M=A7=E4=BE=F7=B7|?=
0,'Stay on to 70' call grows
0,Re: ALSA (almost) made easy (gamix rocks)
0,[ILUG] ispell _and_ aspell in Irish
0,[Spambayes] Current histograms
1,"CDR: Friend, Get Help With Your Debt Now!!"
0,Re: Forged whitelist spam
0,Condemned man picks a black olive for his last meal. Green olives have no comment
0,Re: Another bug
1,FriendSearch and zzzzason.org Partnership
1,[MLB-WIRELESS] CONTRALORIA Y GERENCIA ADMINISTRATIVA
0,when building a rpm i386-redhat-linux- is appended to man page
1,WebDesignHQ Newsletter
1,Do you Remember Me?
1,"rr Credit problems, guaranteed results 3606dBgC0-821K-13"
0,Re: Strange tcl/tk messages from EXMH 2.5...
0,Netscape 7 Review
0,[ILUG] cdrecord + 2.4.19 = hard-lock
0,Re: sed /s/United States/Roman Empire/g
1,Prescriptions Without Doctors Appointment..........
0,Re: ActiveBuddy
0,[Spambayes] testing results
1,[ILUG-Social] re: Guaranteed to lose 10-12 lbs in 30 days 10.148
0,Re: [Razor-users] Authentication Error
0,Liddle quits Today with new BBC deal
1,$ave money on your long distance conference calls
0,Re: The 3rd Annual Consult Hyperion Digital Identity Forum
0,Re: [ILUG] Digital Cameras
0,Re: Internet Archive bookmobile
1,"Learn How To Make $8,000 within 7-14 days! 3341iYjl5-964K-13"
0,RE: [ILUG] When is a wav not a wav?
0,"Viridian Note 00324: 911.net Key concepts: ubiquitous computation, emergency relief, Khaki Green, 911.net, Terrorspace, Cradle.net, Battlespace, Prosthetic Ubicomp, SO/HO Ubicomp, Safetyspace, Street.net, Punish.net, Industrial Ubicomp, Ubitopia Attention Conservation"
0,[Spambayes] understanding high false negative rate
0,Re: [ILUG] slashdot EW Dijkstra humor
1,Fwd: next Tuesday at 9am
0,RE: FREE ORIGINAL STAR WARS CARDS
1,best home mortgage rate MOFJN
0,[use Perl] Headlines for 2002-08-07
0,Re: Please help a newbie compile mplayer :-)
1,Toners and inkjet cartridges for less.... T
0,Re: [ILUG] staroffice 6.0 installation freezes under RH7.3
0,Content management for MP3s
0,Re: Secure Sofware Key
0,Re: Forged whitelist spam
0,[SAtalk]
1,You're Paying Too Much
0,"Re: ""requires:"" and relational operators"
0,Re: voice applications - how does joe-sixpack build one?
0,"Re: xine cannot play DVDs - ""liba52: a52_block error"""
0,[Spambayes] Current histograms
0,Re: My Brain Hurts
1,Votre maintenance Informatique
1,"Reach millions on the internet!! Dear Consumers, Increase your Business Sales! How?? By targeting millions of buyers via e-mail !! 15 MILLION EMAILS + Bulk Mailing Software For Only $100.00 super low price! ACT NOW !!! Our Fresh Addresses Will Bring You Incredible Results! If you REALLY want to get the word out regarding your services or products, Bulk Email is the BEST way to do so, PERIOD! Advertising in newsgroups is good but you're competing with hundreds even THOUSANDS of other ads. Will your customer's see YOUR ad in the midst of all the others? Free Classifieds? (Don't work) Web Site? (Takes thousands of visitors) Banners? (Expensive and iffy) E-Zine? (They better have a huge list) Search Engines? (Easily buried with thousands of others) Bulk Email will allow you to DIRECTLY contact your potential customers. They are much more likely to take the time to read about what you have to offer if it was as easy as reading it via email rather than searching through countless postings in newsgroups. The list's are divided into groups and are compressed. This will allow you to use the names right off the cd. ORDER IN THE NEXT 72 hours AND RECEIVE 4 BONUSES!! *BONUS #1 Receive an additional cd-rom with millions of fresh, deliverable general internet e-mail addresses free!! *BONUS #2 Receive 2000 how to books, reports and manuals on cd-rom with reprint resale rights! Produce for pennies and resell for BIG dollars! *BONUS #3 Receive the Mass Mailer bulk delivery software, with full operating instructions. This software will get the mail out QUICK! *BONUS #4 Receive the Informational Guide to bulk e-mail. This guide will give you all the information you need to get started! THIS IS A ONE TIME PACKAGE DEAL WORTH HUNDREDS OF DOLLARS!! ACT NOW! THIS IS A LIMITED TIME OFFER! ORDER WHILE SUPPLIES LAST! RECEIVE THIS DREAM PACKAGE FOR THE UNBELIEVABLE LOW, LOW PRICE OF ONLY $100.00 ORDERING"
0,Re: [VoID] a new low on the personals tip...
0,Re: [ILUG]
0,Re[2]: A moment of silence for the First Amendment (fwd)
1,First Time Generic V*agra under $3 per 50mg
0,[use Perl] Stories for 2002-07-31
0,Re: [SAtalk] Too funny
0,Re[2]: Goodbye Global Warming
0,Re: bad focus/click behaviours
1,Some of the largest membership sites for free
1,Please help Home Entertainment Companies with Survey - Win a DVR!
1,ADV: Harvest lots of E-mail addresses quickly !
0,that's bullshit
1,3 Cd
0,Re: [Webdev] PHP+Javascript request
1,Re:[1]Save over $70 on this exquisite software suite. FTS
1,First Time Generic V*agra under $3 per 50mg
1,BULKER CD! BULKER CD!
1,Time Travelers PLEASE HELP!!!
1,Why the mortgage email?
0,[zzzzteana] Astro bits
0,RE: [SAtalk] separate inbound and outbound
1,Seeking Your Partnership
1,Free Adult DVDs. No purchase necessary...
0,Curling videogame hits bigtime
0,Re: [ILUG] Network problems
1,CDR: Learn the Secrets of Investing in Real Estate Today!
